RunTime,Database,BatchSize,Parallel,Comment,Sequence,FileName,Start,End,Duration,TotalRecords,TotalInifiniteValues
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,44,../../data/meterdata/london/block_1.csv,24/04/2025 12:19:21 +02:00,24/04/2025 12:19:25 +02:00,4000,1499664,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,45,../../data/meterdata/london/block_0.csv,24/04/2025 12:19:25 +02:00,24/04/2025 12:19:28 +02:00,3000,1213728,905
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,46,../../data/meterdata/london/block_16.csv,24/04/2025 12:19:28 +02:00,24/04/2025 12:19:31 +02:00,3000,1507632,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,47,../../data/meterdata/london/block_101.csv,24/04/2025 12:19:31 +02:00,24/04/2025 12:19:35 +02:00,4000,1423488,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,48,../../data/meterdata/london/block_33.csv,24/04/2025 12:19:35 +02:00,24/04/2025 12:19:38 +02:00,3000,1567392,905
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,49,../../data/meterdata/london/block_27.csv,24/04/2025 12:19:38 +02:00,24/04/2025 12:19:42 +02:00,4000,1594944,882
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,50,../../data/meterdata/london/block_26.csv,24/04/2025 12:19:42 +02:00,24/04/2025 12:19:45 +02:00,3000,1428432,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,51,../../data/meterdata/london/block_32.csv,24/04/2025 12:19:45 +02:00,24/04/2025 12:19:48 +02:00,3000,1491120,882
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,52,../../data/meterdata/london/block_100.csv,24/04/2025 12:19:48 +02:00,24/04/2025 12:19:52 +02:00,4000,1508160,882
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,53,../../data/meterdata/london/block_102.csv,24/04/2025 12:19:52 +02:00,24/04/2025 12:19:55 +02:00,3000,1389600,882
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,54,../../data/meterdata/london/block_24.csv,24/04/2025 12:19:55 +02:00,24/04/2025 12:19:59 +02:00,4000,1553808,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,55,../../data/meterdata/london/block_30.csv,24/04/2025 12:19:59 +02:00,24/04/2025 12:20:03 +02:00,4000,1660224,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,56,../../data/meterdata/london/block_18.csv,24/04/2025 12:20:03 +02:00,24/04/2025 12:20:06 +02:00,3000,1511712,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,57,../../data/meterdata/london/block_19.csv,24/04/2025 12:20:06 +02:00,24/04/2025 12:20:10 +02:00,4000,1568688,892
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,58,../../data/meterdata/london/block_31.csv,24/04/2025 12:20:10 +02:00,24/04/2025 12:20:13 +02:00,3000,1530576,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,59,../../data/meterdata/london/block_25.csv,24/04/2025 12:20:13 +02:00,24/04/2025 12:20:17 +02:00,4000,1534608,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,60,../../data/meterdata/london/block_103.csv,24/04/2025 12:20:17 +02:00,24/04/2025 12:20:20 +02:00,3000,1520208,905
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,61,../../data/meterdata/london/block_107.csv,24/04/2025 12:20:20 +02:00,24/04/2025 12:20:23 +02:00,3000,1478880,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,62,../../data/meterdata/london/block_21.csv,24/04/2025 12:20:23 +02:00,24/04/2025 12:20:27 +02:00,4000,1621392,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,63,../../data/meterdata/london/block_35.csv,24/04/2025 12:20:27 +02:00,24/04/2025 12:20:31 +02:00,4000,1515600,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,64,../../data/meterdata/london/block_34.csv,24/04/2025 12:20:31 +02:00,24/04/2025 12:20:34 +02:00,3000,1509696,882
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,65,../../data/meterdata/london/block_20.csv,24/04/2025 12:20:34 +02:00,24/04/2025 12:20:38 +02:00,4000,1718448,905
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,66,../../data/meterdata/london/block_106.csv,24/04/2025 12:20:38 +02:00,24/04/2025 12:20:41 +02:00,3000,1477440,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,67,../../data/meterdata/london/block_110.csv,24/04/2025 12:20:41 +02:00,24/04/2025 12:20:45 +02:00,4000,1419024,902
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,68,../../data/meterdata/london/block_104.csv,24/04/2025 12:20:45 +02:00,24/04/2025 12:20:48 +02:00,3000,1555056,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,69,../../data/meterdata/london/block_36.csv,24/04/2025 12:20:48 +02:00,24/04/2025 12:20:52 +02:00,4000,1524912,882
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,70,../../data/meterdata/london/block_22.csv,24/04/2025 12:20:52 +02:00,24/04/2025 12:20:56 +02:00,4000,1583664,882
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,71,../../data/meterdata/london/block_8.csv,24/04/2025 12:20:56 +02:00,24/04/2025 12:20:59 +02:00,3000,1560144,882
