Sequence,FileName,Start,End,Duration,TotalRecords,TotalInifiniteValues
64,../../data/meterdata/london/block_34.csv,24/04/2025 13:57:46 +02:00,24/04/2025 13:57:54 +02:00,7686,1509696,882
65,../../data/meterdata/london/block_20.csv,24/04/2025 13:57:54 +02:00,24/04/2025 13:58:03 +02:00,8653,1718448,905
66,../../data/meterdata/london/block_106.csv,24/04/2025 13:58:03 +02:00,24/04/2025 13:58:11 +02:00,7884,1477440,900
67,../../data/meterdata/london/block_110.csv,24/04/2025 13:58:11 +02:00,24/04/2025 13:58:18 +02:00,7283,1419024,902
68,../../data/meterdata/london/block_104.csv,24/04/2025 13:58:18 +02:00,24/04/2025 13:58:26 +02:00,7800,1555056,900
69,../../data/meterdata/london/block_36.csv,24/04/2025 13:58:26 +02:00,24/04/2025 13:58:33 +02:00,7100,1524912,882
70,../../data/meterdata/london/block_22.csv,24/04/2025 13:58:33 +02:00,24/04/2025 13:58:42 +02:00,9347,1583664,882
71,../../data/meterdata/london/block_8.csv,24/04/2025 13:58:42 +02:00,24/04/2025 13:58:51 +02:00,8800,1560144,882
72,../../data/meterdata/london/block_9.csv,24/04/2025 13:58:51 +02:00,24/04/2025 13:59:00 +02:00,8822,1563072,900
73,../../data/meterdata/london/block_23.csv,24/04/2025 13:59:00 +02:00,24/04/2025 13:59:07 +02:00,7335,1417296,900
74,../../data/meterdata/london/block_37.csv,24/04/2025 13:59:07 +02:00,24/04/2025 13:59:16 +02:00,8475,1509888,900
75,../../data/meterdata/london/block_105.csv,24/04/2025 13:59:16 +02:00,24/04/2025 13:59:23 +02:00,7632,1517088,900
76,../../data/meterdata/london/block_111.csv,24/04/2025 13:59:23 +02:00,24/04/2025 13:59:26 +02:00,2478,467520,288
77,../../data/meterdata/london/block_93.csv,24/04/2025 13:59:26 +02:00,24/04/2025 13:59:34 +02:00,8132,1600032,900
78,../../data/meterdata/london/block_87.csv,24/04/2025 13:59:34 +02:00,24/04/2025 13:59:42 +02:00,7983,1509600,869
79,../../data/meterdata/london/block_50.csv,24/04/2025 13:59:42 +02:00,24/04/2025 13:59:50 +02:00,8673,1535520,864
80,../../data/meterdata/london/block_44.csv,24/04/2025 13:59:50 +02:00,24/04/2025 13:59:59 +02:00,8214,1604160,900
81,../../data/meterdata/london/block_78.csv,24/04/2025 13:59:59 +02:00,24/04/2025 14:00:07 +02:00,8147,1469520,900
82,../../data/meterdata/london/block_79.csv,24/04/2025 14:00:07 +02:00,24/04/2025 14:00:15 +02:00,7800,1437408,910
83,../../data/meterdata/london/block_45.csv,24/04/2025 14:00:15 +02:00,24/04/2025 14:00:23 +02:00,8171,1576512,882
84,../../data/meterdata/london/block_51.csv,24/04/2025 14:00:23 +02:00,24/04/2025 14:00:31 +02:00,8354,1566624,900
85,../../data/meterdata/london/block_86.csv,24/04/2025 14:00:31 +02:00,24/04/2025 14:00:39 +02:00,7656,1392288,882
86,../../data/meterdata/london/block_92.csv,24/04/2025 14:00:39 +02:00,24/04/2025 14:00:47 +02:00,8724,1543728,882
87,../../data/meterdata/london/block_84.csv,24/04/2025 14:00:47 +02:00,24/04/2025 14:00:55 +02:00,7727,1351584,882
88,../../data/meterdata/london/block_90.csv,24/04/2025 14:00:55 +02:00,24/04/2025 14:01:02 +02:00,7262,1425312,882
89,../../data/meterdata/london/block_47.csv,24/04/2025 14:01:02 +02:00,24/04/2025 14:01:11 +02:00,9005,1684608,900
90,../../data/meterdata/london/block_53.csv,24/04/2025 14:01:11 +02:00,24/04/2025 14:01:19 +02:00,7557,1473552,905
91,../../data/meterdata/london/block_52.csv,24/04/2025 14:01:19 +02:00,24/04/2025 14:01:26 +02:00,7367,1501536,882
92,../../data/meterdata/london/block_46.csv,24/04/2025 14:01:26 +02:00,24/04/2025 14:01:35 +02:00,8482,1633872,882
93,../../data/meterdata/london/block_91.csv,24/04/2025 14:01:35 +02:00,24/04/2025 14:01:42 +02:00,7095,1425984,887
94,../../data/meterdata/london/block_85.csv,24/04/2025 14:01:42 +02:00,24/04/2025 14:01:49 +02:00,7007,1408080,828
95,../../data/meterdata/london/block_81.csv,24/04/2025 14:01:49 +02:00,24/04/2025 14:01:56 +02:00,6578,1337952,882
96,../../data/meterdata/london/block_95.csv,24/04/2025 14:01:56 +02:00,24/04/2025 14:02:03 +02:00,7377,1530720,910
97,../../data/meterdata/london/block_42.csv,24/04/2025 14:02:03 +02:00,24/04/2025 14:02:11 +02:00,7672,1534080,900
98,../../data/meterdata/london/block_56.csv,24/04/2025 14:02:11 +02:00,24/04/2025 14:02:18 +02:00,7218,1514448,900
