Sequence,FileName,Start,End,Duration,TotalRecords,TotalInifiniteValues
92,../../data/meterdata/london/block_46.csv,24/04/2025 17:08:21 +02:00,24/04/2025 17:08:22 +02:00,1019,1633872,882
93,../../data/meterdata/london/block_91.csv,24/04/2025 17:08:22 +02:00,24/04/2025 17:08:23 +02:00,914,1425984,887
94,../../data/meterdata/london/block_85.csv,24/04/2025 17:08:23 +02:00,24/04/2025 17:08:24 +02:00,931,1408080,828
95,../../data/meterdata/london/block_81.csv,24/04/2025 17:08:24 +02:00,24/04/2025 17:08:24 +02:00,858,1337952,882
96,../../data/meterdata/london/block_95.csv,24/04/2025 17:08:24 +02:00,24/04/2025 17:08:25 +02:00,982,1530720,910
97,../../data/meterdata/london/block_42.csv,24/04/2025 17:08:25 +02:00,24/04/2025 17:08:26 +02:00,929,1534080,900
98,../../data/meterdata/london/block_56.csv,24/04/2025 17:08:26 +02:00,24/04/2025 17:08:27 +02:00,957,1514448,900
99,../../data/meterdata/london/block_57.csv,24/04/2025 17:08:27 +02:00,24/04/2025 17:08:28 +02:00,916,1494432,864
100,../../data/meterdata/london/block_43.csv,24/04/2025 17:08:28 +02:00,24/04/2025 17:08:29 +02:00,956,1525056,900
101,../../data/meterdata/london/block_94.csv,24/04/2025 17:08:29 +02:00,24/04/2025 17:08:30 +02:00,1030,1605216,900
102,../../data/meterdata/london/block_80.csv,24/04/2025 17:08:30 +02:00,24/04/2025 17:08:31 +02:00,881,1393968,864
103,../../data/meterdata/london/block_96.csv,24/04/2025 17:08:31 +02:00,24/04/2025 17:08:32 +02:00,991,1545456,905
104,../../data/meterdata/london/block_82.csv,24/04/2025 17:08:32 +02:00,24/04/2025 17:08:33 +02:00,867,1356192,900
105,../../data/meterdata/london/block_69.csv,24/04/2025 17:08:33 +02:00,24/04/2025 17:08:34 +02:00,854,1347168,900
106,../../data/meterdata/london/block_55.csv,24/04/2025 17:08:34 +02:00,24/04/2025 17:08:35 +02:00,939,1462800,900
107,../../data/meterdata/london/block_41.csv,24/04/2025 17:08:35 +02:00,24/04/2025 17:08:36 +02:00,925,1490496,882
108,../../data/meterdata/london/block_40.csv,24/04/2025 17:08:36 +02:00,24/04/2025 17:08:37 +02:00,1006,1515408,911
109,../../data/meterdata/london/block_54.csv,24/04/2025 17:08:37 +02:00,24/04/2025 17:08:38 +02:00,966,1504848,900
110,../../data/meterdata/london/block_68.csv,24/04/2025 17:08:38 +02:00,24/04/2025 17:08:39 +02:00,987,1424208,864
111,../../data/meterdata/london/block_83.csv,24/04/2025 17:08:39 +02:00,24/04/2025 17:08:40 +02:00,930,1425840,887
112,../../data/meterdata/london/block_97.csv,24/04/2025 17:08:40 +02:00,24/04/2025 17:08:41 +02:00,997,1535664,900
