Sequence,FileName,Start,End,Duration,TotalRecords,TotalInifiniteValues
65,../../data/meterdata/london/block_20.csv,24/04/2025 16:52:32 +02:00,24/04/2025 16:52:38 +02:00,5642,1718448,905
66,../../data/meterdata/london/block_106.csv,24/04/2025 16:52:38 +02:00,24/04/2025 16:52:42 +02:00,4758,1477440,900
67,../../data/meterdata/london/block_110.csv,24/04/2025 16:52:42 +02:00,24/04/2025 16:52:48 +02:00,5272,1419024,902
68,../../data/meterdata/london/block_104.csv,24/04/2025 16:52:48 +02:00,24/04/2025 16:52:53 +02:00,5034,1555056,900
69,../../data/meterdata/london/block_36.csv,24/04/2025 16:52:53 +02:00,24/04/2025 16:52:58 +02:00,5346,1524912,882
70,../../data/meterdata/london/block_22.csv,24/04/2025 16:52:58 +02:00,24/04/2025 16:53:04 +02:00,5829,1583664,882
71,../../data/meterdata/london/block_8.csv,24/04/2025 16:53:04 +02:00,24/04/2025 16:53:09 +02:00,5385,1560144,882
72,../../data/meterdata/london/block_9.csv,24/04/2025 16:53:09 +02:00,24/04/2025 16:53:15 +02:00,5225,1563072,900
73,../../data/meterdata/london/block_23.csv,24/04/2025 16:53:15 +02:00,24/04/2025 16:53:19 +02:00,4763,1417296,900
74,../../data/meterdata/london/block_37.csv,24/04/2025 16:53:19 +02:00,24/04/2025 16:53:25 +02:00,5404,1509888,900
75,../../data/meterdata/london/block_105.csv,24/04/2025 16:53:25 +02:00,24/04/2025 16:53:30 +02:00,5311,1517088,900
76,../../data/meterdata/london/block_111.csv,24/04/2025 16:53:30 +02:00,24/04/2025 16:53:32 +02:00,1635,467520,288
77,../../data/meterdata/london/block_93.csv,24/04/2025 16:53:32 +02:00,24/04/2025 16:53:37 +02:00,5648,1600032,900
78,../../data/meterdata/london/block_87.csv,24/04/2025 16:53:37 +02:00,24/04/2025 16:53:42 +02:00,4920,1509600,869
79,../../data/meterdata/london/block_50.csv,24/04/2025 16:53:42 +02:00,24/04/2025 16:53:48 +02:00,5187,1535520,864
