Sequence,FileName,Start,End,Duration,TotalRecords,TotalInifiniteValues
80,../../data/meterdata/london/block_44.csv,24/04/2025 13:43:53 +02:00,24/04/2025 13:44:02 +02:00,9050,1604160,900
81,../../data/meterdata/london/block_78.csv,24/04/2025 13:44:02 +02:00,24/04/2025 13:44:10 +02:00,7995,1469520,900
82,../../data/meterdata/london/block_79.csv,24/04/2025 13:44:10 +02:00,24/04/2025 13:44:18 +02:00,8406,1437408,910
83,../../data/meterdata/london/block_45.csv,24/04/2025 13:44:18 +02:00,24/04/2025 13:44:27 +02:00,8244,1576512,882
84,../../data/meterdata/london/block_51.csv,24/04/2025 13:44:27 +02:00,24/04/2025 13:44:37 +02:00,10249,1566624,900
85,../../data/meterdata/london/block_86.csv,24/04/2025 13:44:37 +02:00,24/04/2025 13:44:46 +02:00,8873,1392288,882
86,../../data/meterdata/london/block_92.csv,24/04/2025 13:44:46 +02:00,24/04/2025 13:44:55 +02:00,9137,1543728,882
87,../../data/meterdata/london/block_84.csv,24/04/2025 13:44:55 +02:00,24/04/2025 13:45:03 +02:00,7990,1351584,882
88,../../data/meterdata/london/block_90.csv,24/04/2025 13:45:03 +02:00,24/04/2025 13:45:12 +02:00,8616,1425312,882
89,../../data/meterdata/london/block_47.csv,24/04/2025 13:45:12 +02:00,24/04/2025 13:45:22 +02:00,9992,1684608,900
90,../../data/meterdata/london/block_53.csv,24/04/2025 13:45:22 +02:00,24/04/2025 13:45:30 +02:00,8880,1473552,905
91,../../data/meterdata/london/block_52.csv,24/04/2025 13:45:30 +02:00,24/04/2025 13:45:41 +02:00,10247,1501536,882
92,../../data/meterdata/london/block_46.csv,24/04/2025 13:45:41 +02:00,24/04/2025 13:45:51 +02:00,10147,1633872,882
93,../../data/meterdata/london/block_91.csv,24/04/2025 13:45:51 +02:00,24/04/2025 13:46:00 +02:00,9427,1425984,887
94,../../data/meterdata/london/block_85.csv,24/04/2025 13:46:00 +02:00,24/04/2025 13:46:10 +02:00,9311,1408080,828
95,../../data/meterdata/london/block_81.csv,24/04/2025 13:46:10 +02:00,24/04/2025 13:46:18 +02:00,8331,1337952,882
96,../../data/meterdata/london/block_95.csv,24/04/2025 13:46:18 +02:00,24/04/2025 13:46:28 +02:00,10045,1530720,910
97,../../data/meterdata/london/block_42.csv,24/04/2025 13:46:28 +02:00,24/04/2025 13:46:38 +02:00,9991,1534080,900
98,../../data/meterdata/london/block_56.csv,24/04/2025 13:46:38 +02:00,24/04/2025 13:46:48 +02:00,9807,1514448,900
99,../../data/meterdata/london/block_57.csv,24/04/2025 13:46:48 +02:00,24/04/2025 13:46:58 +02:00,9755,1494432,864
100,../../data/meterdata/london/block_43.csv,24/04/2025 13:46:58 +02:00,24/04/2025 13:47:08 +02:00,10089,1525056,900
101,../../data/meterdata/london/block_94.csv,24/04/2025 13:47:08 +02:00,24/04/2025 13:47:18 +02:00,10362,1605216,900
102,../../data/meterdata/london/block_80.csv,24/04/2025 13:47:18 +02:00,24/04/2025 13:47:28 +02:00,10076,1393968,864
103,../../data/meterdata/london/block_96.csv,24/04/2025 13:47:28 +02:00,24/04/2025 13:47:37 +02:00,8531,1545456,905
104,../../data/meterdata/london/block_82.csv,24/04/2025 13:47:37 +02:00,24/04/2025 13:47:37 +02:00,357,1356192,900
105,../../data/meterdata/london/block_69.csv,24/04/2025 13:47:37 +02:00,24/04/2025 13:47:37 +02:00,353,1347168,900
106,../../data/meterdata/london/block_55.csv,24/04/2025 13:47:37 +02:00,24/04/2025 13:47:38 +02:00,368,1462800,900
107,../../data/meterdata/london/block_41.csv,24/04/2025 13:47:38 +02:00,24/04/2025 13:47:38 +02:00,374,1490496,882
108,../../data/meterdata/london/block_40.csv,24/04/2025 13:47:38 +02:00,24/04/2025 13:47:38 +02:00,378,1515408,911
109,../../data/meterdata/london/block_54.csv,24/04/2025 13:47:38 +02:00,24/04/2025 13:47:39 +02:00,377,1504848,900
110,../../data/meterdata/london/block_68.csv,24/04/2025 13:47:39 +02:00,24/04/2025 13:47:39 +02:00,356,1424208,864
111,../../data/meterdata/london/block_83.csv,24/04/2025 13:47:39 +02:00,24/04/2025 13:47:40 +02:00,394,1425840,887
112,../../data/meterdata/london/block_97.csv,24/04/2025 13:47:40 +02:00,24/04/2025 13:47:40 +02:00,394,1535664,900
